이름,판매가(1등급),스태미나(1등급),재료1,재료2,재료3,재료4,이미지,시즌,버프,,등급,판매 배수,스태미나 배수
베지 샐러드,90,15,토마토,토마토,,,salad,일반,,,1등급,1.0,1.0
라즈베리 잼,250,30,라즈베리,라즈베리,라즈베리,라즈베리,raspjam,일반,,,2등급,1.5,1.2
케첩,180,35,토마토,토마토,토마토,토마토,ketchup,일반,,,3등급,2.0,1.4
블루베리 잼,170,22,블루베리,블루베리,블루베리,블루베리,bluejam,일반,,,4등급,4.0,1.6
사과 잼,270,35,사과,사과,사과,사과,applejam,일반,,,5등급,8.0,2.0
오렌지 잼,270,40,오렌지,오렌지,오렌지,오렌지,orangejam,일반,,,,,
딸기 잼,1580,40,딸기,딸기,딸기,딸기,stjam,일반,,,,,
파인애플 잼,280,40,파인애플,파인애플,파인애플,파인애플,pjam,일반,,,※ 버프 입력 가이드,,
포도 잼,2020,40,포도,포도,포도,포도,gjam,일반,,,노랑 셀 = 버프 없음 (버프명 직접 입력),,
피시 앤 칩스,310,40,물고기(100),물고기(100),감자,감자,fishchip,일반,,,초록 셀 = 버프 있음 (현재 값 수정 가능),,
치즈케이크,480,40,치즈,우유,밀,,cheesecake,일반,,,보라 행 = 빙설 시즌 전용 레시피,,
오리지널 롤케이크,550,35,달걀,우유,사탕(150),사탕(150),roll,일반,,,,,
롤케이크150,570,48,달걀,우유,사탕(150),사탕(150),broll,일반,,,,,
롤케이크200,670,48,달걀,우유,사탕(200),사탕(200),rroll,일반,,,,,
버섯 파이,500,35,버섯,버섯,밀,달걀,mushroompie,일반,,,,,
검은 트러플 파이,830,80,검은 트러플,검은 트러플,밀,달걀,trufflepie,일반,,,,,
구운 버섯,180,15,버섯,버섯,버섯,버섯,bakemushroom,일반,,,,,
온천란,130,15,멸균란,,,,egg,일반,,,,,
커피,290,40,커피 원두,커피 원두,커피 원두,커피 원두,bcoffee,일반,,,,,
카페라떼,300,40,커피 원두,커피 원두,우유,우유,latte,일반,,,,,
훈제 연어 베이글,520,50,물고기(100),치즈,토마토,밀,bagel,일반,,,,,
씨푸드 덮밥,490,40,물고기(100),물고기(100),밀,토마토,searisotto,일반,,,,,
씨푸드 피자,780,70,치즈,케첩,밀,물고기(100),seapizza,일반,활력 충만,,,,
티라미수,530,65,커피 원두,달걀,우유,치즈,tiramisu,일반,,,,,
컨트리 스튜,640,60,토마토,감자,양상추,,ratatouille,일반,,,,,
검은 트러플 크림 파스타,900,90,검은 트러플,밀,밀,우유,trufflenoodles,일반,,,,,
미트소스 파스타,670,80,고기,밀,토마토,치즈,pasta,일반,,,,,
애플파이,730,70,사과,밀,달걀,버터,applepie,일반,,,,,
당근 케이크,840,55,당근,당근,달걀,밀,cacake,일반,,,,,
콘스프,1340,80,옥수수,옥수수,우유,버터,csoup,일반,,,,,
럭셔리 씨푸드 플래터,410,65,가재,가재,물고기(100),물고기(100),seaplatter,일반,무한한 힘,,,,
캠핑 세트,2260,100,커피,씨푸드 피자,애플파이,피시 앤 칩스,camping,일반,무한한 힘,,,,
잉글리시 애프터눈 티,710,25,티라미수,블루베리,,,aftertea,일반,,,,,
미트버거,1350,75,밀,양상추,고기,케첩,meatburger,일반,,,,,
랍스터 냉채,850,30,가재,가재,가재,양상추,pcocktail,일반,,,,,
북유럽파란가재 냉채,1310,60,북유럽파란가재,북유럽파란가재,북유럽파란가재,양상추,bpcocktail,일반,,,,,
미트소스 가지 그라탱,1230,75,가지,고기,식용유,케첩,meggplant,일반,활력 충만,,,,
캔들라이트 디너,1760,75,베지 샐러드,훈제 연어 베이글,씨푸드 덮밥,티라미수,cdinner,일반,,,,,
킹크랩찜,1990,90,킹크랩,킹크랩,킹크랩,버터,steamcrab,일반,빠른 발걸음,,,,
얼음컵 커피,280,20,슈가파우더,커피 원두,커피 원두,커피 원두,icecoffee,빙설 시즌,,,,,
얼음컵 라떼,280,20,슈가파우더,커피 원두,우유,우유,icelatte,빙설 시즌,,,,,
갈은 무와 스테이크,630,40,고기,고기,버터,무,adishmeat,빙설 시즌,,,,,
무 크림 수프,340,25,우유,버터,무,무,radishcreamsoup,빙설 시즌,,,,,
블루베리 슈가파우더 팬케이크,330,25,달걀,우유,슈가파우더,블루베리,,빙설 시즌,,,,,
라즈베리 슈가파우더 팬케이크,350,25,달걀,우유,슈가파우더,라즈베리,,빙설 시즌,,,,,
사과 슈가파우더 팬케이크,360,25,달걀,우유,슈가파우더,사과,,빙설 시즌,,,,,
오렌지 슈가파우더 팬케이크,360,25,달걀,우유,슈가파우더,오렌지,,빙설 시즌,,,,,
오로라 만찬,1630,40,갈은 무와 스테이크,무 크림 수프,얼음컵 커피,사과 슈가파우더 팬케이크,,빙설 시즌,,,,,
